word1,word2,weight
guy,years,55
cant,good,61
win,deal,28
biden,deal,25
guy,weve,3
guy,incredible,28
incredible,joe,7
good,election,30
years,deal,50
big,years,73
president,job,68
well,deal,57
china,deal,41
deal,good,61
incredible,year,14
years,incredible,53
deal,states,14
better,states,11
better,deal,16
lot,biden,21
incredible,ive,24
state,ive,12
state,weve,29
things,deal,12
left,election,28
left,weve,16
years,happened,70
happened,great,71
big,happened,30
cant,win,36
win,vote,70
remember,election,20
lot,history,13
history,people,37
big,things,45
big,job,52
things,job,42
america,country,41
american,weve,19
time,history,48
time,country,67
election,america,10
didnt,joe,41
china,win,27
lot,year,42
years,ive,74
great,things,102
deal,job,8
lot,deal,32
remember,thing,48
remember,biden,15
years,left,70
time,left,54
cant,big,47
big,guy,94
cant,time,29
cant,remember,20
better,thing,31
deal,thing,20
happened,deal,30
will,happened,44
remember,happened,22
will,remember,70
guy,year,8
cant,things,34
state,things,14
state,happened,12
cant,weve,31
better,left,13
remember,good,42
good,vote,52
remember,vote,20
years,thing,88
weve,thing,30
remember,things,18
deal,people,55
incredible,deal,21
cant,ive,14
president,time,53
win,thing,74
american,thing,12
will,cant,68
thing,election,25
remember,left,17
president,year,15
time,vote,28
big,vote,11
vote,states,13
love,left,23
well,love,43
well,better,88
good,america,10
job,america,4
love,states,10
incredible,love,51
will,incredible,80
american,job,13
good,states,22
love,joe,8
biden,love,8
remember,states,7
remember,year,22
cant,china,15
well,vote,68
win,love,28
incredible,win,18
well,left,21
happened,states,21
president,election,14
didnt,love,26
will,didnt,38
big,states,44
cant,incredible,16
weve,joe,8
time,year,40
president,win,16
love,america,21
state,people,123
win,american,12
vote,history,16
big,incredible,24
ive,win,8
vote,joe,42
dont,history,38
win,history,17
guy,dont,99
guy,people,73
guy,thing,32
guy,remember,45
guy,joe,23
remember,joe,16
remember,dont,79
incredible,country,76
state,didnt,20
guy,will,36
guy,love,47
china,great,34
china,president,19
better,country,50
china,better,9
incredible,american,14
remember,country,27
remember,people,68
lot,better,56
china,vote,4
vote,country,42
cant,better,30
president,love,27
great,biden,51
biden,job,23
guy,going,113
time,love,58
history,states,13
american,deal,6
better,didnt,8
remember,better,21
incredible,history,34
remember,american,9
job,election,6
lot,america,7
vote,america,40
happened,weve,26
happened,good,46
year,states,8
years,job,24
didnt,time,80
lot,job,58
american,left,12
china,job,13
things,vote,10
better,american,10
guy,president,29
left,country,109
incredible,election,6
happened,vote,13
year,america,10
china,lot,28
big,american,8
china,left,7
cant,american,7
years,love,22
big,ive,8
left,america,6
things,america,3
china,love,3
china,election,9
love,election,10
history,election,92
remember,well,42
incredible,president,18
lot,joe,15
well,incredible,50
didnt,thing,49
better,win,41
state,time,26
big,joe,12
big,biden,21
guy,better,18
guy,win,14
happened,ive,4
thing,america,7
things,joe,15
remember,win,21
better,weve,37
ive,election,8
better,biden,9
ive,deal,6
happened,love,10
history,good,26
biden,good,22
left,job,8
happened,left,14
guy,didnt,46
state,better,13
remember,lot,36
better,president,13
better,year,98
better,vote,68
better,america,6
guy,happened,10
ive,joe,1
guy,china,9
guy,states,3
remember,deal,11
remember,incredible,11
remember,didnt,28
well,america,15
love,weve,17
better,ive,9
things,american,13
better,time,68
remember,love,16
history,left,10
good,left,24
cant,love,34
guy,history,10
guy,american,8
deal,history,7
well,ive,19
didnt,year,10
didnt,weve,18
deal,vote,8
year,love,8
history,thing,14
didnt,america,4
happened,america,4
better,incredible,14
better,love,15
state,america,9
state,years,31
things,history,8
year,left,4
year,thing,22
didnt,american,2
vote,job,14
guy,vote,20
cant,deal,19
weve,america,11
year,deal,6
year,job,12
didnt,ive,15
big,america,2
cant,didnt,20
state,deal,2
didnt,history,13
biden,states,11
deal,love,19
well,american,18
guy,deal,6
happened,win,4
remember,weve,7
guy,america,4
remember,america,1
state,remember,19
win,year,24
big,better,27
state,vote,20
cant,history,3
china,biden,2
lot,american,12
happened,history,10
vote,love,16
cant,job,14
incredible,vote,20
deal,america,1
deal,election,18
deal,joe,7
remember,president,22
ive,vote,3
better,election,8
remember,job,6
remember,history,7
biden,joe,1
american,joe,1
states,joe,1
guy,left,6
