word1,word2,weight
weve,biden,8
will,joe,140
joe,better,36
joe,people,80
going,joe,94
things,joe,36
better,biden,24
things,biden,20
covid,time,28
plan,country,82
plan,joe,36
going,workers,260
years,america,44
years,jobs,124
jobs,biden,10
years,trump,96
jobs,president,152
trump,going,206
trump,year,24
good,joe,24
plan,biden,44
good,biden,28
plan,america,26
thing,joe,22
years,plan,98
trump,health,28
joe,cant,28
time,day,96
will,cant,88
things,time,86
help,working,94
plan,working,50
americans,working,50
president,america,144
americans,weve,30
good,years,74
dont,workers,86
country,day,126
day,weve,40
help,better,96
better,cant,70
dont,better,42
will,united,128
plan,lot,40
lot,americans,16
jobs,thing,34
thing,country,84
lot,american,34
thing,trump,22
work,things,126
going,ive,98
states,america,36
states,better,32
years,crisis,32
president,americans,48
president,covid,20
year,people,180
year,health,28
good,working,69
years,vice,54
plan,day,38
day,ive,22
well,ive,54
plan,ive,62
thing,cant,64
workers,cant,44
america,biden,2
america,united,20
better,united,20
good,nation,36
good,united,14
jobs,day,36
years,year,140
workers,crisis,72
jobs,nation,44
americans,cant,24
dont,crisis,88
states,united,62
going,united,100
will,day,260
day,vice,52
covid,better,10
cant,working,40
country,biden,40
americans,day,52
help,american,56
time,better,86
today,plan,68
plan,work,62
work,nation,100
today,americans,68
jobs,today,64
jobs,country,106
workers,united,10
workers,america,52
help,time,80
jobs,workers,196
good,workers,69
will,thing,134
today,year,30
year,america,36
lot,ive,76
country,ive,68
jobs,trump,48
better,working,52
jobs,better,90
lot,workers,32
time,donald,58
trump,time,76
work,states,94
year,states,42
years,day,34
year,united,16
states,day,56
day,america,46
today,working,38
going,donald,156
help,trump,14
plan,trump,32
thing,donald,20
years,today,70
cant,donald,20
years,donald,66
plan,united,10
help,united,16
thing,united,44
thing,states,68
president,trump,150
help,america,28
year,workers,18
help,thing,40
workers,better,40
joe,vice,28
vice,biden,34
americans,health,66
trump,vice,6
health,biden,8
good,donald,26
good,trump,22
day,united,18
vice,united,24
states,vice,24
year,covid,12
trump,crisis,50
joe,nation,6
joe,day,30
trump,dont,64
trump,ive,2
year,donald,12
better,donald,14
trump,better,30
things,donald,18
things,trump,26
plan,states,30
plan,thing,68
years,dont,114
workers,working,64
things,today,64
americans,states,14
today,health,40
thing,crisis,36
trump,lot,26
jobs,states,22
dont,donald,86
president,workers,84
going,vice,106
work,crisis,32
joe,working,14
nation,donald,28
trump,nation,40
help,day,42
today,day,80
workers,donald,12
trump,workers,22
workers,nation,44
cant,ive,20
years,workers,20
workers,day,60
good,vice,48
health,united,2
vice,cant,32
day,health,24
thing,vice,10
better,ive,16
help,states,70
states,crisis,28
will,weve,96
covid,states,18
states,health,28
thing,biden,18
lot,crisis,28
things,america,26
good,states,40
help,crisis,48
years,nation,64
crisis,working,26
nation,working,22
vice,america,18
joe,workers,4
states,ive,6
year,ive,20
thing,day,48
work,weve,110
well,donald,30
lot,donald,20
dont,joe,32
plan,donald,30
weve,donald,18
help,donald,18
plan,weve,24
thing,ive,32
day,donald,12
states,donald,16
president,donald,80
jobs,united,16
plan,vice,22
today,trump,22
today,donald,10
vice,ive,6
dont,biden,14
vice,donald,10
year,cant,44
trump,day,20
good,health,16
lot,united,14
lot,states,62
health,ive,10
nation,vice,16
trump,working,10
year,country,64
good,ive,22
thing,nation,20
american,states,22
joe,crisis,6
crisis,biden,16
health,america,18
workers,ive,10
thing,year,20
united,ive,2
jobs,donald,18
crisis,donald,24
trump,states,20
things,year,40
jobs,covid,10
years,americans,14
years,covid,6
year,biden,8
good,crisis,16
year,dont,76
year,joe,6
weve,working,30
vice,health,6
year,crisis,24
donald,working,4
well,trump,24
working,united,6
joe,united,4
american,united,4
thing,today,18
biden,united,2
joe,states,6
year,vice,18
biden,working,10
crisis,united,12
vice,weve,6
thing,health,6
jobs,ive,8
jobs,vice,10
health,donald,10
american,vice,4
good,covid,4
joe,health,2
nation,biden,8
workers,vice,2
covid,united,2
covid,vice,2
states,biden,4
