word1,word2,weight
going,joe,47
things,joe,18
better,biden,12
things,biden,10
time,covid,14
plan,country,41
plan,joe,18
going,workers,130
years,america,22
years,jobs,62
biden,jobs,5
years,trump,48
president,jobs,76
going,trump,103
year,trump,12
good,joe,12
plan,biden,22
biden,good,14
plan,america,13
years,care,10
years,plan,49
health,trump,14
cant,joe,14
time,day,46
better,care,25
will,cant,44
care,joe,6
things,time,43
working,help,47
working,plan,25
working,americans,25
president,america,72
americans,weve,15
years,good,37
dont,workers,43
day,country,63
day,weve,20
help,better,48
cant,better,35
better,dont,21
will,united,64
plan,lot,20
americans,lot,8
lot,american,17
lot,care,22
care,work,45
things,work,63
ive,going,49
states,america,18
better,states,16
years,crisis,16
americans,president,24
president,covid,10
year,people,90
year,health,14
working,good,34
years,vice,27
plan,day,19
ive,day,11
well,ive,27
plan,ive,31
cant,workers,22
biden,america,1
united,america,10
better,united,10
nation,good,18
united,good,7
day,jobs,18
years,year,71
crisis,workers,36
nation,jobs,22
cant,americans,12
dont,crisis,44
united,states,31
united,going,50
will,day,130
vice,day,26
better,covid,5
cant,working,20
biden,country,20
americans,day,26
help,american,28
better,time,43
plan,today,34
plan,work,31
nation,work,50
americans,today,34
today,jobs,32
jobs,country,53
united,workers,5
america,workers,26
cant,care,32
care,workers,94
help,time,40
jobs,workers,98
good,workers,34
year,today,15
year,america,18
lot,ive,38
ive,country,34
jobs,trump,24
working,better,26
better,jobs,45
lot,workers,16
time,donald,29
time,trump,38
states,work,47
year,states,21
years,day,17
united,year,8
day,states,28
day,america,23
working,today,19
going,donald,78
help,trump,7
plan,trump,16
years,today,35
care,trump,9
cant,donald,10
years,donald,33
plan,united,5
help,united,8
president,trump,75
help,america,14
year,workers,9
better,workers,20
vice,joe,14
vice,biden,17
americans,health,33
vice,trump,3
biden,health,4
good,donald,13
good,trump,11
united,day,9
vice,united,12
vice,states,12
year,covid,6
crisis,trump,25
nation,joe,3
care,crisis,10
day,joe,15
care,today,12
dont,trump,32
ive,trump,1
year,donald,6
better,donald,7
better,trump,15
things,donald,9
things,trump,13
plan,states,15
president,care,62
care,weve,9
years,dont,57
working,workers,32
things,today,32
americans,states,7
health,today,20
lot,trump,13
states,jobs,11
dont,donald,43
president,workers,42
vice,going,53
crisis,work,16
working,joe,7
nation,donald,14
nation,trump,20
care,day,30
help,day,21
care,year,15
day,today,40
donald,workers,6
trump,workers,11
nation,care,14
nation,workers,22
care,jobs,22
cant,ive,10
years,workers,10
day,workers,30
vice,good,24
united,health,1
cant,vice,16
day,health,12
better,ive,8
help,states,35
states,crisis,14
will,weve,48
covid,states,9
health,states,14
lot,crisis,14
things,america,13
good,states,20
help,crisis,24
years,nation,32
working,crisis,13
working,nation,11
vice,america,9
workers,joe,2
ive,states,3
ive,year,10
weve,work,55
well,donald,15
lot,donald,10
dont,joe,16
plan,donald,15
weve,donald,9
help,donald,9
plan,weve,12
ive,care,11
day,donald,6
care,donald,6
states,donald,8
president,donald,40
united,jobs,8
plan,vice,11
today,trump,11
today,donald,5
vice,ive,3
biden,dont,7
vice,donald,5
cant,year,22
day,trump,10
health,good,8
care,good,7
lot,united,7
lot,states,31
ive,health,5
vice,nation,8
working,trump,5
year,country,32
ive,good,11
american,states,11
crisis,joe,3
biden,crisis,8
health,america,9
ive,workers,5
ive,united,1
jobs,donald,9
crisis,donald,12
states,trump,10
things,year,20
covid,jobs,5
years,americans,7
years,covid,3
biden,year,4
good,crisis,8
biden,nation,4
dont,year,38
biden,care,5
vice,covid,1
working,weve,15
working,united,3
united,crisis,6
biden,states,2
covid,good,2
working,biden,5
well,trump,12
united,covid,1
ive,jobs,4
vice,workers,1
vice,weve,3
vice,health,3
vice,jobs,5
vice,care,4
year,joe,3
vice,american,2
vice,year,9
states,joe,3
health,donald,5
year,crisis,12
american,united,2
working,donald,2
health,joe,1
united,joe,2
biden,united,1
