file,word,n
10-20-20,we’re,39
10-28-20,it’s,39
10-29-20,country,39
10-31-20,that’s,39
11-01-20,don’t,39
11-02-20,he’s,39
01-04-21,we’re,38
07-13-20,that’s,38
08-07-20,it’s,38
08-07-20,people,38
08-21-20,people,38
09-10-20,biden,38
10-14-20,china,38
10-16-20,biden,38
10-16-20,country,38
10-24-20,i’m,38
10-25-20,biden,38
10-28-20,he’s,38
10-31-20,people,38
02-28-21,election,37
08-03-20,we’re,37
08-04-20,it’s,37
08-15-20,people,37
09-16-20,vaccine,37
09-17-20,deal,37
09-18-20,joe,37
10-14-20,biden,37
10-17-20,i’m,37
10-19-20,biden,37
10-23-20,joe,37
10-28-20,people,37
11-02-20,biden,37
01-04-21,ballots,36
07-13-20,it’s,36
07-14-20,country,36
07-30-20,it’s,36
08-09-20,people,36
08-13-20,people,36
08-18-20,people,36
09-01-20,people,36
09-19-20,guy,36
10-13-20,biden,36
10-17-20,biden,36
10-23-20,he’s,36
12-06-20,lot,36
12-06-20,you’re,36
02-28-21,we’re,35
07-22-20,we’re,35
07-30-20,people,35
08-09-20,it’s,35
08-18-20,it’s,35
08-20-20,they’re,35
08-28-20,they’re,35
09-07-20,don’t,35
09-13-20,they’re,35
09-19-20,president,35
09-24-20,i’m,35
10-13-20,i’m,35
10-16-20,guy,35
10-17-20,lot,35
10-17-20,you’re,35
10-18-20,i’m,35
10-23-20,i’m,35
10-25-20,time,35
12-02-20,people,35
08-07-20,they’re,34
08-12-20,they’re,34
08-15-20,they’re,34
08-21-20,we’ve,34
08-28-20,that’s,34
09-17-20,i’m,34
09-18-20,russia,34
09-19-20,billion,34
09-29-20,don’t,34
10-09-20,i’ve,34
10-12-20,country,34
10-18-20,job,34
10-18-20,lot,34
10-19-20,that’s,34
10-21-20,i’m,34
10-24-20,they’re,34
10-25-20,you’re,34
10-27-20,that’s,34
11-26-20,votes,34
12-02-20,it’s,34
12-06-20,georgia,34
12-06-20,vote,34
02-28-21,biden,33
07-14-20,they’re,33
08-09-20,don’t,33
08-10-20,don’t,33
08-27-20,american,33
09-04-20,don’t,33
09-16-20,that’s,33
10-14-20,president,33
10-17-20,he’s,33
10-18-20,vote,33
10-19-20,i’m,33
10-19-20,we’re,33
10-20-20,biden,33
10-22-20,don’t,33
10-25-20,i’m,33
11-05-20,election,33
12-06-20,david,33
01-04-21,can’t,32
01-04-21,david,32
08-12-20,don’t,32
08-13-20,they’re,32
08-14-20,people,32
08-18-20,we’re,32
08-20-20,he’s,32
08-27-20,biden,32
09-19-20,carolina,32
09-24-20,they’re,32
09-25-20,people,32
09-25-20,we’re,32
09-29-20,joe,32
10-09-20,we’ve,32
10-12-20,they’re,32
10-13-20,they’re,32
10-14-20,country,32
10-16-20,georgia,32
10-16-20,you’re,32
10-17-20,job,32
10-21-20,biden,32
10-22-20,we’re,32
10-24-20,didn’t,32
10-28-20,that’s,32
10-28-20,we’re,32
11-02-20,country,32
12-06-20,win,32
01-04-21,election,31
01-04-21,lot,31
07-29-20,energy,31
08-14-20,it’s,31
08-15-20,it’s,31
08-19-20,people,31
08-20-20,jobs,31
08-21-20,we’re,31
09-13-20,biden,31
09-14-20,we’re,31
09-17-20,china,31
09-17-20,lot,31
09-18-20,time,31
09-22-20,pennsylvania,31
10-09-20,call,31
10-12-20,you’re,31
10-13-20,country,31
10-13-20,he’s,31
10-16-20,time,31
10-19-20,he’s,31
10-22-20,joe,31
10-24-20,joe,31
10-24-20,lot,31
10-25-20,lot,31
10-29-20,joe,31
11-01-20,that’s,31
12-06-20,can’t,31
07-14-20,lot,30
07-14-20,world,30
08-18-20,country,30
08-21-20,time,30
09-01-20,police,30
09-13-20,america,30
09-17-20,country,30
09-17-20,president,30
09-18-20,didn’t,30
09-18-20,sir,30
09-21-20,he’s,30
10-09-20,rush,30
10-12-20,florida,30
10-19-20,people,30
10-20-20,they’re,30
10-23-20,country,30
10-25-20,country,30
10-25-20,sir,30
10-29-20,job,30
10-31-20,biden,30
11-26-20,don’t,30
01-04-21,won,29
02-28-21,party,29
02-28-21,time,29
07-16-20,it’s,29
08-10-20,lot,29
08-10-20,they’re,29
08-15-20,that’s,29
08-17-20,we’ve,29
09-08-20,america,29
09-08-20,country,29
09-16-20,we’ve,29
09-17-20,you’re,29
09-19-20,china,29
09-22-20,country,29
09-25-20,americans,29
10-01-20,it’s,29
10-09-20,he’s,29
10-09-20,you’re,29
10-12-20,he’s,29
10-15-20,i’m,29
10-20-20,pennsylvania,29
10-27-20,people,29
10-28-20,job,29
11-02-20,they’re,29
12-06-20,didn’t,29
12-06-20,i’m,29
01-04-21,tomorrow,28
07-14-20,biden,28
07-14-20,didn’t,28
08-10-20,china,28
08-13-20,we’re,28
08-14-20,police,28
08-19-20,don’t,28
08-20-20,biden,28
08-27-20,country,28
09-01-20,job,28
09-01-20,we’re,28
09-08-20,he’s,28
09-10-20,china,28
09-18-20,day,28
09-19-20,didn’t,28
09-21-20,i’m,28
09-24-20,country,28
10-09-20,bad,28
10-12-20,biden,28
10-12-20,i’m,28
10-14-20,joe,28
10-14-20,lot,28
10-14-20,they’re,28
10-15-20,we’re,28
10-18-20,country,28
10-22-20,money,28
10-23-20,american,28
10-23-20,president,28
10-23-20,you’re,28
10-24-20,ohio,28
10-25-20,joe,28
10-29-20,guy,28
10-29-20,incredible,28
10-29-20,we’ve,28
11-26-20,we’re,28
12-06-20,election,28
01-04-21,win,27
01-12-21,country,27
07-14-20,time,27
07-20-20,we’re,27
07-28-20,million,27
08-07-20,that’s,27
08-10-20,that’s,27
08-12-20,we’ve,27
08-13-20,that’s,27
08-17-20,china,27
08-18-20,border,27
08-21-20,country,27
08-27-20,joe,27
09-04-20,that’s,27
09-08-20,china,27
09-10-20,country,27
09-10-20,he’s,27
09-10-20,job,27
09-10-20,you’re,27
09-17-20,they’re,27
09-18-20,biden,27
09-18-20,president,27
09-19-20,love,27
09-19-20,north,27
09-19-20,remember,27
09-22-20,can’t,27
09-30-20,joe,27
09-30-20,minnesota,27
10-09-20,lot,27
10-09-20,talk,27
10-19-20,country,27
10-20-20,he’s,27
10-23-20,biden,27
10-25-20,they’re,27
11-01-20,they’re,27
11-02-20,i’m,27
11-26-20,they’re,27
12-06-20,ballots,27
12-08-20,we’re,27
02-28-21,didn’t,26
02-28-21,world,26
07-13-20,we’re,26
07-21-20,we’ve,26
07-31-20,it’s,26
08-04-20,that’s,26
08-12-20,billion,26
08-17-20,they’re,26
08-18-20,that’s,26
08-20-20,lot,26
08-28-20,biden,26
09-08-20,you’re,26
09-10-20,lot,26
09-11-20,pat,26
09-12-20,they’re,26
09-17-20,can’t,26
09-18-20,can’t,26
09-18-20,guys,26
09-18-20,we’ve,26
09-19-20,can’t,26
09-27-20,it’s,26
10-12-20,lot,26
10-16-20,joe,26
10-16-20,love,26
10-16-20,won,26
10-17-20,american,26
10-18-20,didn’t,26
10-20-20,people,26
10-24-20,country,26
10-25-20,can’t,26
11-02-20,american,26
11-02-20,we’ve,26
12-02-20,fraud,26
12-02-20,votes,26
12-03-20,lou,26
12-06-20,america,26
02-28-21,america,25
02-28-21,million,25
07-16-20,people,25
08-12-20,lot,25
08-13-20,don’t,25
08-15-20,money,25
08-28-20,country,25
09-01-20,don’t,25
09-01-20,they’re,25
09-04-20,lot,25
09-08-20,carolina,25
09-10-20,john,25
09-18-20,job,25
09-19-20,million,25
09-19-20,win,25
09-22-20,remember,25
09-24-20,lot,25
09-25-20,they’re,25
09-29-20,i’m,25
09-30-20,that’s,25
10-09-20,biggest,25
10-09-20,country,25
10-10-20,it’s,25
10-13-20,you’re,25
10-14-20,guy,25
10-17-20,america,25
10-17-20,we’ve,25
10-18-20,you’re,25
10-19-20,american,25
